price,numBedrooms,numBathrooms,propertySize,total_images,longitude,latitude,ber_rating,featuredLevel,propertyType,sellerType
290000,3,3,96.0,16.0,-8.3825,51.82294,C2,featured,End of Terrace,BRANDED_AGENT
225000,3,2,93.0,33.0,-7.177098,53.157465,C1,featured,Semi-D,BRANDED_AGENT
575000,4,3,162.0,38.0,-6.342763,53.269493,A3,featured,Semi-D,BRANDED_AGENT
120000,3,1,68.0,5.0,-6.8797965660927,53.728600531324,G,featured,Terrace,BRANDED_AGENT
400000,4,3,113.0,20.0,-8.614786,51.883612,C1,featured,Semi-D,BRANDED_AGENT
490000,2,2,104.0,16.0,-8.436105,51.879916,B3,featured,Apartment,BRANDED_AGENT
680000,5,3,169.0,21.0,-9.082283,53.266491,C2,featured,Semi-D,BRANDED_AGENT
695000,7,6,400.0,24.0,-7.899131,53.446741,C2,featured,Detached,BRANDED_AGENT
320000,2,2,70.0,15.0,-6.323471,53.377173,D1,featured,Apartment,BRANDED_AGENT
275000,2,1,58.0,14.0,-6.421765,53.395523,D1,featured,Semi-D,BRANDED_AGENT
395000,3,2,204.0,43.0,-6.37534,52.205808,C2,featured,Detached,BRANDED_AGENT
490000,3,3,108.0,24.0,-6.282095,53.396259,C3,featured,Detached,BRANDED_AGENT
625000,3,3,95.0,24.0,-6.256121,53.362106,G,featured,Terrace,BRANDED_AGENT
850000,4,3,84.0,25.0,-8.486444,51.918711,E1,featured,Semi-D,BRANDED_AGENT
850000,4,3,73.0,21.0,-6.286219,53.337464,C1,featured,Semi-D,BRANDED_AGENT
525000,3,1,70.0,21.0,-9.642424,51.553191,F,featured,Bungalow,BRANDED_AGENT
360000,2,1,62.0,42.0,-7.570388,52.045685,B3,featured,Apartment,BRANDED_AGENT
169000,3,2,91.0,16.0,-6.683378,53.650064,E1,featured,Semi-D,BRANDED_AGENT
525000,2,1,62.0,26.0,-6.969209,52.263107,D1,featured,Terrace,BRANDED_AGENT
499000,4,4,288.0,15.0,-8.493849,51.872285,D2,featured,Detached,BRANDED_AGENT
549000,6,4,286.0,8.0,-6.290844,53.311204,F,featured,Detached,BRANDED_AGENT
465000,4,3,114.0,29.0,-6.2355737,53.4679345,C2,featured,Semi-D,BRANDED_AGENT
300000,3,2,120.0,18.0,-6.944157,52.389123,D1,featured,Semi-D,BRANDED_AGENT
449000,6,6,225.0,27.0,-9.680376183646471,51.53352539617652,SI_666,featured,Detached,BRANDED_AGENT
337500,3,1,70.0,17.0,-6.239517,53.311201,E2,featured,Bungalow,BRANDED_AGENT
325000,2,2,85.0,18.0,-9.004779,53.730969,C1,featured,Apartment,BRANDED_AGENT
695000,5,3,295.0,14.0,-8.473152,51.901668,B2,featured,Detached,BRANDED_AGENT
445000,3,2,95.0,15.0,-6.958447,52.395209,B2,featured,Terrace,BRANDED_AGENT
235000,4,2,84.0,20.0,-6.828647,52.387897,C3,featured,Detached,BRANDED_AGENT
450000,5,2,84.0,14.0,-9.157313,54.126352,D1,featured,Terrace,BRANDED_AGENT
350000,2,2,73.0,13.0,-6.233447,53.443949,C2,featured,Apartment,BRANDED_AGENT
175000,3,1,55.0,25.0,-6.273182,53.303543,D2,featured,Detached,BRANDED_AGENT
645000,5,4,234.0,15.0,-6.233178,53.473289,C3,featured,Detached,BRANDED_AGENT
185000,2,2,84.0,17.0,-6.127391,53.391882,D1,featured,Terrace,BRANDED_AGENT
395000,4,4,210.0,32.0,-6.383729,53.290418,SI_666,featured,Detached,BRANDED_AGENT
195000,2,1,65.0,27.0,-8.37274,54.977439,D1,featured,Townhouse,BRANDED_AGENT
395000,2,2,78.0,20.0,-8.486738,51.919672,C2,featured,Apartment,BRANDED_AGENT
435000,3,3,155.0,29.0,-8.481995,51.883494,E2,featured,Semi-D,BRANDED_AGENT
260000,3,2,120.0,12.0,-7.335289,53.52786,C2,featured,Detached,BRANDED_AGENT
275000,3,1,82.0,9.0,-7.348218,53.529733,F,featured,Detached,BRANDED_AGENT
950000,3,2,127.0,20.0,-6.471708,53.47075,E1,featured,Semi-D,BRANDED_AGENT
179000,3,2,103.0,23.0,-6.661385,53.559309,B3,featured,Semi-D,BRANDED_AGENT
215000,2,1,63.0,32.0,-6.175917,53.285625,D2,featured,Apartment,BRANDED_AGENT
179000,3,3,90.0,48.0,-7.260219,52.656982,E1,featured,Terrace,BRANDED_AGENT
